id,nome,email,regiao_id,canal_aquisicao_id,data_cadastro
1,Brenda Alves,samuel32@example.net,1,1,2021-07-19
2,Yago Borges,bandrade@example.org,1,1,2021-07-08
3,Igor Montenegro,novaismiguel@example.net,1,1,2021-07-27
4,Ísis Leão,manuelapastor@example.com,1,1,2021-07-06
5,Emanuel Sampaio,rfernandes@example.org,1,1,2021-07-30
6,Lucca Caldeira,garciagael@example.com,1,1,2021-07-23
7,Dr. Augusto Siqueira,hnascimento@example.com,1,1,2021-07-27
8,Yuri da Rocha,matheus10@example.net,1,1,2021-07-18
9,João Vitor Barros,guilhermegarcia@example.com,1,1,2021-07-20
10,Maria Clara Castro,daniela34@example.net,1,1,2021-07-17
11,Ana Sophia Pereira,sophiesiqueira@example.org,1,1,2021-07-19
12,Ravi Garcia,pedro-lucas50@example.org,1,1,2021-07-15
13,Levi Guerra,davi-lucca39@example.net,1,1,2021-07-23
14,Sr. Theo Gonçalves,qcasa-grande@example.org,1,1,2021-07-19
15,Vitor Gabriel da Luz,zpacheco@example.com,1,1,2021-07-06
16,Davi Miguel Moraes,wborges@example.org,1,1,2021-07-14
17,Eduardo Pires,laviniapeixoto@example.org,1,1,2021-07-09
18,Maria Helena Peixoto,qmoura@example.net,1,1,2021-07-26
19,Danilo Rodrigues,carolina14@example.com,1,1,2021-07-19
20,Rafael Abreu,melissa28@example.org,1,1,2021-07-14
21,Letícia Porto,leandrofreitas@example.org,1,1,2021-07-01
22,Vitória Abreu,mariana01@example.com,1,1,2021-07-28
23,Isaque Araújo,emanuelbarros@example.net,1,1,2021-07-15
24,Ana Lívia Teixeira,jose-miguelribeiro@example.com,1,1,2021-07-04
25,Eloah da Luz,icunha@example.net,1,1,2021-07-02
26,Srta. Luana Guerra,luna87@example.org,1,1,2021-07-04
27,Henry Gabriel Azevedo,asafe98@example.org,1,1,2021-07-04
28,Hellena Abreu,santosdante@example.org,1,2,2021-07-24
29,Arthur Gabriel Farias,moraesrenan@example.com,1,2,2021-07-16
30,Raquel Cunha,maria-juliada-cruz@example.com,1,2,2021-07-20
31,Esther Brito,ribeirolorena@example.com,1,2,2021-07-28
32,Maria Sophia Martins,rochagael-henrique@example.org,1,2,2021-07-12
33,Maitê Caldeira,matheuscorreia@example.net,1,2,2021-07-16
34,Cecilia Lima,agathamartins@example.org,1,2,2021-07-30
35,Pedro Miguel Novaes,aragaovalentina@example.org,1,2,2021-07-29
36,Isaac Cavalcante,emendonca@example.org,1,2,2021-07-24
37,Ana Liz Cavalcante,yabreu@example.com,1,2,2021-07-29
38,Laura Lima,mcassiano@example.com,1,2,2021-07-20
39,Benjamin Pacheco,souzaana-sophia@example.org,1,2,2021-07-02
40,Rhavi Montenegro,danilomoraes@example.org,1,2,2021-07-14
41,Bernardo Peixoto,rocharavy@example.com,1,2,2021-07-31
42,Josué Pacheco,pintoenrico@example.com,1,2,2021-07-23
43,Stephany Dias,nicolas53@example.com,1,2,2021-07-01
44,Caroline Rios,maria-cecilia51@example.org,1,2,2021-07-11
45,Beatriz Barbosa,nataliada-luz@example.org,1,2,2021-07-24
46,Sr. Joaquim Freitas,levi78@example.net,1,2,2021-07-20
47,Vinícius Albuquerque,gustavo-henrique24@example.org,1,3,2021-07-23
48,Yuri Cassiano,alexia93@example.net,1,3,2021-07-05
49,Sr. João Montenegro,dda-cunha@example.org,1,3,2021-07-30
50,Mariana da Mota,abreubrenda@example.org,1,3,2021-07-26
51,Julia Castro,tnovaes@example.com,1,3,2021-07-23
52,Alexia Camargo,saleskaique@example.net,1,3,2021-07-17
53,Léo Pacheco,lorenacardoso@example.org,1,3,2021-07-15
54,Luiz Otávio Vieira,fogacaotto@example.net,1,3,2021-07-13
55,Cauã Fogaça,vpinto@example.org,1,3,2021-07-22
56,Enrico Cavalcanti,lalves@example.net,1,3,2021-07-13
57,Dr. Josué da Mata,henriquegarcia@example.org,1,3,2021-07-25
58,Hellena Costa,tferreira@example.org,2,1,2021-07-02
59,Apollo Ribeiro,isabellyfarias@example.com,2,1,2021-07-20
60,João Lucas Ferreira,irocha@example.com,2,1,2021-07-26
61,Danilo da Luz,viniciusandrade@example.org,2,1,2021-07-11
62,Maya Ferreira,luiza98@example.org,2,1,2021-07-07
63,Esther da Cunha,santosluiza@example.org,2,1,2021-07-27
64,Zoe Rodrigues,emanuellalopes@example.org,2,1,2021-07-18
65,Luísa Pinto,josue48@example.com,2,1,2021-07-06
66,Maria Luísa Duarte,ssampaio@example.net,2,1,2021-07-16
67,Gael Leão,vrocha@example.org,2,1,2021-07-01
68,Liz Guerra,da-rosaallana@example.org,2,1,2021-07-25
69,Luna Martins,rmacedo@example.org,2,1,2021-07-21
70,Olívia Vieira,enzo-gabrielda-paz@example.net,2,1,2021-07-19
71,Lívia Borges,ana-luizacamara@example.org,2,1,2021-07-25
72,Apollo Aparecida,maria-laurapimenta@example.org,2,1,2021-07-05
73,Maria Vitória Pires,hadassamonteiro@example.com,2,1,2021-07-03
74,Diogo Rezende,saheitor@example.com,2,1,2021-07-13
75,Felipe Sampaio,jaragao@example.org,2,1,2021-07-18
76,Rafael Carvalho,hrios@example.net,2,1,2021-07-30
77,Luiza Sá,upimenta@example.net,2,1,2021-07-23
78,Melissa Castro,qmachado@example.org,2,1,2021-07-19
79,Kamilly Vargas,ppires@example.com,2,1,2021-07-14
80,Ana Vitória Silva,ravy45@example.com,2,1,2021-07-22
81,Anna Liz Carvalho,ravigomes@example.net,2,1,2021-07-25
82,Heitor Azevedo,vjesus@example.net,2,1,2021-07-23
83,Maria Vitória Araújo,lauragomes@example.net,2,1,2021-07-09
84,Srta. Maria Helena Mendes,fogacaana-cecilia@example.com,2,1,2021-07-19
85,Zoe Souza,mariahcamara@example.com,2,1,2021-07-17
86,Raquel Alves,qfernandes@example.net,2,1,2021-07-18
87,Eloah Martins,sophiealves@example.com,2,1,2021-07-14
88,Amanda Barros,dcarvalho@example.org,2,1,2021-07-01
89,José Pedro Garcia,otavio75@example.com,2,1,2021-07-26
90,Lara Sá,fda-cunha@example.com,2,1,2021-07-14
